user_id,movie_id,view_date
1,1,2023-09-07 00:00:00
1,3,2022-08-02 00:00:00
1,6,2018-08-30 00:00:00
1,12,2018-08-09 00:00:00
1,47,2023-02-26 00:00:00
1,50,2019-11-16 00:00:00
1,70,2018-07-19 00:00:00
1,101,2020-04-15 00:00:00
1,110,2018-02-15 00:00:00
1,151,2018-01-11 00:00:00
1,157,2018-12-08 00:00:00
1,163,2020-02-21 00:00:00
1,216,2023-10-06 00:00:00
1,223,2020-01-16 00:00:00
1,231,2020-07-21 00:00:00
1,235,2022-10-16 00:00:00
1,260,2023-05-06 00:00:00
1,296,2021-12-28 00:00:00
1,316,2018-05-04 00:00:00
1,318,2022-01-10 00:00:00
1,333,2020-06-22 00:00:00
1,349,2021-03-22 00:00:00
1,356,2021-11-23 00:00:00
1,362,2022-02-17 00:00:00
1,367,2020-02-06 00:00:00
1,423,2024-01-06 00:00:00
1,441,2018-07-24 00:00:00
1,457,2021-08-24 00:00:00
1,480,2024-03-17 00:00:00
1,500,2020-05-16 00:00:00
1,527,2021-09-16 00:00:00
1,543,2019-07-22 00:00:00
1,552,2021-11-17 00:00:00
1,553,2018-04-09 00:00:00
1,590,2021-10-18 00:00:00
1,592,2018-07-03 00:00:00
1,593,2018-04-17 00:00:00
1,596,2022-12-17 00:00:00
1,608,2021-10-29 00:00:00
1,648,2022-02-22 00:00:00
1,661,2024-01-15 00:00:00
1,673,2018-12-09 00:00:00
1,733,2021-07-21 00:00:00
1,736,2019-07-12 00:00:00
1,780,2018-11-29 00:00:00
1,804,2024-02-26 00:00:00
1,919,2023-04-19 00:00:00
1,923,2022-01-03 00:00:00
1,940,2024-02-08 00:00:00
1,943,2021-07-07 00:00:00
1,954,2018-06-30 00:00:00
1,1009,2023-03-16 00:00:00
1,1023,2024-01-29 00:00:00
1,1024,2018-05-24 00:00:00
1,1025,2020-10-15 00:00:00
1,1029,2021-10-02 00:00:00
1,1030,2020-03-12 00:00:00
1,1031,2020-09-04 00:00:00
1,1032,2023-07-26 00:00:00
1,1042,2020-03-19 00:00:00
1,1049,2023-01-05 00:00:00
1,1060,2019-11-25 00:00:00
1,1073,2020-03-02 00:00:00
1,1080,2022-08-17 00:00:00
1,1089,2020-11-30 00:00:00
1,1090,2018-02-26 00:00:00
1,1092,2020-03-14 00:00:00
1,1097,2023-04-08 00:00:00
1,1127,2020-02-27 00:00:00
1,1136,2021-11-11 00:00:00
1,1196,2022-08-25 00:00:00
1,1197,2019-03-04 00:00:00
1,1198,2018-03-23 00:00:00
1,1206,2023-06-09 00:00:00
1,1208,2023-04-01 00:00:00
1,1210,2020-08-31 00:00:00
1,1213,2023-05-09 00:00:00
1,1214,2023-02-13 00:00:00
1,1219,2020-10-15 00:00:00
1,1220,2023-06-29 00:00:00
1,1222,2023-11-29 00:00:00
1,1224,2024-02-15 00:00:00
1,1226,2023-07-16 00:00:00
1,1240,2022-11-02 00:00:00
1,1256,2018-08-04 00:00:00
1,1258,2018-07-29 00:00:00
1,1265,2022-08-15 00:00:00
1,1270,2023-07-06 00:00:00
1,1275,2019-05-06 00:00:00
1,1278,2018-05-20 00:00:00
1,1282,2021-04-27 00:00:00
1,1291,2022-02-09 00:00:00
1,1298,2019-06-20 00:00:00
1,1348,2023-04-16 00:00:00
1,1377,2023-09-03 00:00:00
1,1396,2019-10-27 00:00:00
1,1408,2022-01-15 00:00:00
1,1445,2023-06-08 00:00:00
1,1473,2022-10-12 00:00:00
1,1500,2020-04-12 00:00:00
1,1517,2023-02-26 00:00:00
1,1552,2022-10-15 00:00:00
1,1573,2018-07-19 00:00:00
1,1580,2022-09-22 00:00:00
1,1587,2018-03-26 00:00:00
1,1617,2019-12-02 00:00:00
1,1620,2021-11-10 00:00:00
1,1625,2023-09-14 00:00:00
1,1644,2018-07-07 00:00:00
1,1676,2023-02-10 00:00:00
1,1732,2018-07-26 00:00:00
1,1777,2018-06-26 00:00:00
1,1793,2021-11-16 00:00:00
1,1804,2020-11-29 00:00:00
1,1805,2018-02-11 00:00:00
1,1920,2019-05-18 00:00:00
1,1927,2022-03-19 00:00:00
1,1954,2021-08-11 00:00:00
1,1967,2021-03-14 00:00:00
1,2000,2019-03-14 00:00:00
1,2005,2019-05-28 00:00:00
1,2012,2024-03-08 00:00:00
1,2018,2023-08-01 00:00:00
1,2028,2019-04-25 00:00:00
1,2033,2018-09-06 00:00:00
1,2046,2020-04-24 00:00:00
1,2048,2018-11-24 00:00:00
1,2054,2022-07-15 00:00:00
1,2058,2019-03-26 00:00:00
1,2078,2022-09-13 00:00:00
1,2090,2018-10-31 00:00:00
1,2093,2020-06-01 00:00:00
1,2094,2021-04-11 00:00:00
