user_id,genre_id
1,28
1,12
1,35
2,18
2,28
2,80
3,878
3,28
3,27
4,18
4,35
4,10749
5,18
5,35
5,80
6,18
6,35
6,10749
7,28
7,12
7,18
8,35
8,18
8,53
9,18
9,35
9,12
10,10749
10,35
10,18
11,28
11,53
11,18
12,10749
12,35
12,18
13,18
13,28
13,53
14,18
14,10749
14,35
15,878
15,18
15,12
16,18
16,53
16,35
17,18
17,28
17,12
18,18
18,28
18,53
19,35
19,53
19,12
20,10751
20,35
20,12
21,28
21,12
21,35
22,18
22,35
22,28
23,18
23,80
23,53
24,28
24,35
24,18
25,28
25,12
25,18
26,53
26,28
26,80
27,12
27,18
27,35
28,18
28,28
28,53
29,18
29,28
29,10752
30,28
30,12
30,878
31,35
31,28
31,12
32,18
32,35
32,53
33,18
33,35
33,10749
34,28
34,35
34,12
35,35
35,18
35,10749
36,18
36,35
36,28
37,53
37,35
37,18
38,18
38,35
38,10749
39,18
39,12
39,28
40,18
40,35
40,28
41,18
41,35
41,10749
42,35
42,18
42,28
43,35
43,18
43,12
44,35
44,28
44,12
45,35
45,18
45,28
46,53
46,28
46,18
47,18
47,35
47,10749
48,28
48,878
48,53
49,18
49,878
49,28
50,18
50,35
50,28
51,35
51,18
51,28
52,28
52,18
52,53
53,18
53,35
53,10749
54,18
54,53
54,35
55,80
55,53
55,18
56,28
56,53
56,18
57,35
57,18
57,28
58,18
58,35
58,53
59,18
59,53
59,28
60,18
60,80
60,12
61,18
61,53
61,80
62,28
62,18
62,12
63,35
63,28
63,18
64,18
64,35
64,53
65,18
65,28
65,53
66,18
66,35
66,28
67,28
67,35
67,18
68,35
68,18
68,28
69,18
69,28
69,878
70,18
70,35
70,10749
71,28
71,12
71,53
72,18
72,28
72,53
73,35
73,28
73,18
74,18
74,53
74,80
75,28
75,12
75,878
76,18
76,53
76,80
77,28
77,12
77,878
78,28
78,35
78,53
79,28
79,53
79,18
80,53
80,28
80,18
81,53
81,28
81,12
82,28
82,35
82,12
83,18
83,28
83,12
84,18
84,35
84,10749
85,18
85,10749
85,35
86,28
86,12
86,18
87,18
87,35
87,878
88,18
88,53
88,80
89,35
89,10751
89,16
90,18
90,35
90,10749
91,28
91,53
91,18
92,18
92,35
92,10751
93,12
93,28
93,35
94,18
94,53
94,28
95,18
95,878
95,28
96,28
96,18
96,12
97,28
97,12
97,53
98,35
98,18
98,12
99,35
99,53
99,28
100,35
100,10749
100,18
101,18
101,35
101,28
102,53
102,28
102,35
103,18
103,35
103,12
104,35
104,10749
104,12
105,18
105,35
105,28
106,12
106,14
106,28
107,18
107,12
107,35
108,18
108,10749
108,35
109,18
109,35
109,53
110,18
110,35
110,53
111,35
111,18
111,28
112,28
112,18
112,12
113,18
113,10749
113,35
114,12
114,28
114,14
115,35
115,28
115,12
116,28
116,35
116,10749
117,18
117,35
117,53
118,18
118,80
118,53
119,28
119,18
119,12
120,12
120,35
120,28
121,18
121,53
121,35
122,35
122,18
122,28
123,18
123,53
123,28
124,18
124,35
124,53
125,18
125,35
125,28
126,18
126,53
126,28
127,18
127,35
127,53
128,18
128,10749
128,35
129,28
129,12
129,878
130,18
130,28
130,53
131,18
131,53
131,80
132,18
132,35
132,10749
133,53
133,18
133,28
134,28
134,18
134,53
135,35
135,28
135,53
136,18
136,35
136,28
137,18
137,35
137,12
138,28
138,35
138,18
139,28
139,12
139,53
140,18
140,53
140,28
141,35
141,12
141,18
142,53
142,18
142,28
143,35
143,10749
143,18
144,18
144,35
144,10749
145,12
145,53
145,18
146,18
146,10749
146,35
147,35
147,28
147,18
148,12
148,14
148,16
149,878
149,28
149,12
150,53
150,28
150,18
151,35
151,12
151,53
152,18
152,53
152,80
153,18
153,35
153,10749
154,12
154,28
154,878
155,35
155,12
155,28
156,18
156,35
156,10749
157,35
157,18
157,12
158,53
158,35
158,28
159,18
159,35
159,10749
160,18
160,28
160,53
161,35
161,10751
161,12
162,18
162,10749
162,35
163,35
163,18
163,53
164,28
164,12
164,878
165,18
165,28
165,35
166,18
166,28
166,53
167,35
167,12
167,28
168,18
168,80
168,53
169,35
169,18
169,10749
170,18
170,53
170,28
171,18
171,35
171,12
172,12
172,28
172,35
173,35
173,18
173,10749
174,35
174,18
174,28
175,18
175,10749
175,35
176,28
176,53
176,12
177,18
177,35
177,10749
178,18
178,53
178,35
179,53
179,35
179,28
180,28
180,12
180,35
181,18
181,35
181,53
182,18
182,35
182,53
183,28
183,53
183,12
184,28
184,18
184,878
185,18
185,10749
185,35
186,12
186,878
186,28
187,18
187,53
187,28
188,18
188,35
188,10749
189,18
189,28
189,80
190,18
190,35
190,12
191,18
191,35
191,10749
192,53
192,18
192,28
193,18
193,12
193,53
194,35
194,18
194,10749
195,18
195,53
195,35
196,18
196,28
196,12
197,18
197,28
197,53
198,18
198,53
198,35
199,18
199,35
199,80
200,35
200,18
200,28
201,35
201,28
201,18
202,18
202,28
202,35
203,28
203,18
203,12
204,18
204,53
204,35
205,12
205,28
205,18
206,18
206,10749
206,35
207,53
207,12
207,18
208,28
208,53
208,18
209,18
209,28
209,12
210,12
210,878
210,28
211,28
211,53
211,18
212,28
212,18
212,35
213,28
213,53
213,12
214,18
214,35
214,10749
215,18
215,35
215,10749
216,35
216,18
216,10749
217,35
217,28
217,12
218,35
218,12
218,28
219,28
219,53
219,35
220,28
220,12
220,35
221,18
221,35
221,80
222,18
222,35
222,28
223,18
223,28
223,35
224,35
224,10749
224,18
225,35
225,27
225,18
226,35
226,18
226,12
227,18
227,53
227,28
228,28
228,53
228,878
229,18
229,35
229,53
230,28
230,35
230,12
231,28
231,878
231,80
232,35
232,18
232,28
233,18
233,80
233,28
234,12
234,28
234,10751
235,18
235,35
235,10749
236,35
236,27
236,53
237,18
237,53
237,28
238,18
238,53
238,28
239,18
239,28
239,53
240,35
240,28
240,18
241,18
241,53
241,10749
242,53
242,18
242,35
243,28
243,53
243,35
244,28
244,18
244,53
245,18
245,99
245,35
246,18
246,28
246,12
247,18
247,12
247,28
248,12
248,28
248,878
249,28
249,35
249,53
250,18
250,10749
250,53
251,18
251,53
251,80
252,35
252,16
252,12
253,18
253,35
253,10749
254,18
254,53
254,28
255,35
255,28
255,10751
256,28
256,35
256,12
257,35
257,28
257,80
258,18
258,28
258,12
259,35
259,18
259,12
260,18
260,35
260,80
261,18
261,80
261,53
262,18
262,35
262,10749
263,18
263,35
263,10749
264,12
264,18
264,28
265,18
265,878
265,28
266,35
266,28
266,18
267,28
267,878
267,18
268,18
268,35
268,28
269,53
269,18
269,28
270,35
270,18
270,53
271,18
271,878
271,53
272,28
272,878
272,12
273,35
273,18
273,10749
274,35
274,28
274,53
275,18
275,35
275,10749
276,35
276,12
276,28
277,28
277,35
277,12
278,18
278,35
278,80
279,28
279,53
279,18
280,35
280,18
280,10749
281,35
281,18
281,10749
282,18
282,35
282,80
283,35
283,18
283,10749
284,35
284,28
284,53
285,18
285,35
285,53
286,18
286,53
286,35
287,18
287,35
287,10749
288,18
288,35
288,12
289,35
289,18
289,10749
290,18
290,35
290,53
291,12
291,14
291,28
292,28
292,12
292,53
293,18
293,35
293,53
294,35
294,28
294,12
295,18
295,80
295,53
296,18
296,28
296,53
297,53
297,80
297,18
298,35
298,18
298,28
299,28
299,27
299,53
300,18
300,53
300,10749
301,18
301,35
301,53
302,18
302,53
302,28
303,878
303,28
303,12
304,18
304,28
304,35
305,18
305,28
305,53
306,35
306,16
306,12
307,35
307,18
307,53
308,12
308,18
308,35
309,18
309,53
309,12
310,35
310,18
310,28
311,18
311,28
311,35
312,18
312,878
312,53
313,28
313,53
313,878
314,18
314,35
314,28
315,18
315,10749
315,35
316,35
316,53
316,18
317,18
317,53
317,80
318,18
318,35
318,28
319,18
319,12
319,28
320,28
320,878
320,12
321,35
321,53
321,18
322,18
322,35
322,53
323,18
323,35
323,28
324,18
324,35
324,80
325,18
325,35
325,53
326,18
326,53
326,80
327,35
327,18
327,80
328,35
328,12
328,18
329,18
329,35
329,80
330,18
330,35
330,28
331,18
331,28
331,53
332,18
332,28
332,53
333,18
333,35
333,28
334,35
334,12
334,18
335,35
335,28
335,53
336,18
336,53
336,35
337,18
337,53
337,28
338,18
338,80
338,53
339,18
339,53
339,28
340,28
340,53
340,18
341,35
341,12
341,28
342,35
342,18
342,53
343,18
343,80
343,53
344,28
344,12
344,878
345,18
345,35
345,10749
346,18
346,53
346,80
347,35
347,12
347,28
348,18
348,80
348,53
349,18
349,53
349,35
350,35
350,53
350,28
351,18
351,53
351,80
352,18
352,53
352,28
353,53
353,35
353,18
354,28
354,18
354,53
355,35
355,12
355,28
356,35
356,18
356,10749
357,18
357,35
357,10749
358,10749
358,18
358,35
359,18
359,35
359,12
360,53
360,18
360,9648
361,28
361,35
361,18
362,18
362,53
362,80
363,28
363,35
363,18
364,53
364,28
364,12
365,35
365,28
365,18
366,28
366,18
366,53
367,35
367,18
367,10749
368,28
368,53
368,18
369,35
369,28
369,18
370,35
370,28
370,18
371,12
371,18
371,28
372,18
372,53
372,28
373,18
373,53
373,35
374,53
374,28
374,12
375,18
375,28
375,35
376,28
376,53
376,12
377,18
377,878
377,35
378,18
378,80
378,53
379,18
379,53
379,28
380,28
380,53
380,12
381,35
381,12
381,18
382,28
382,12
382,35
383,18
383,35
383,10749
384,18
384,35
384,53
385,18
385,35
385,28
386,53
386,28
386,18
387,18
387,35
387,53
388,35
388,10751
388,12
389,53
389,28
389,12
390,18
390,10749
390,35
391,18
391,35
391,53
392,18
392,35
392,10749
393,28
393,53
393,12
394,28
394,18
394,53
395,28
395,12
395,35
396,35
396,18
396,16
397,18
397,35
397,10749
398,18
398,35
398,14
399,12
399,28
399,18
400,18
400,80
400,28
401,16
401,10751
401,12
402,53
402,28
402,18
403,18
403,53
403,35
404,18
404,53
404,10749
405,18
405,53
405,80
406,35
406,18
406,10749
407,28
407,12
407,18
408,28
408,12
408,35
409,35
409,18
409,80
410,18
410,35
410,10749
411,18
411,35
411,53
412,35
412,18
412,10749
413,18
413,80
413,28
414,18
414,35
414,28
415,18
415,53
415,35
416,18
416,35
416,10749
417,18
417,53
417,80
418,18
418,53
418,12
419,18
419,53
419,28
420,18
420,35
420,28
421,18
421,10749
421,35
422,18
422,35
422,28
423,18
423,28
423,53
424,18
424,53
424,80
425,18
425,28
425,53
426,35
426,18
426,12
427,18
427,53
427,28
428,28
428,35
428,18
429,18
429,10749
429,35
430,18
430,35
430,12
431,35
431,28
431,10749
432,18
432,53
432,28
433,80
433,18
433,53
434,18
434,28
434,53
435,18
435,28
435,53
436,35
436,18
436,10751
437,18
437,35
437,10749
438,28
438,35
438,18
439,28
439,12
439,18
440,878
440,18
440,35
441,28
441,35
441,12
442,18
442,35
442,10749
443,18
443,12
443,28
444,18
444,80
444,53
445,18
445,53
445,35
446,18
446,35
446,53
447,18
447,28
447,53
448,35
448,18
448,28
449,18
449,35
449,80
450,18
450,28
450,35
451,53
451,35
451,28
452,28
452,53
452,12
453,35
453,18
453,28
454,18
454,53
454,27
455,18
455,53
455,35
456,35
456,53
456,18
457,28
457,12
457,878
458,18
458,53
458,35
459,12
459,28
459,18
460,18
460,12
460,28
461,18
461,35
461,10749
462,18
462,35
462,99
463,28
463,18
463,10752
464,28
464,18
464,53
465,53
465,18
465,28
466,28
466,12
466,18
467,18
467,10752
467,10749
468,18
468,53
468,28
469,18
469,35
469,28
470,18
470,53
470,35
471,35
471,18
471,28
472,18
472,80
472,35
473,18
473,35
473,10749
474,18
474,35
474,10749
475,12
475,28
475,878
476,18
476,35
476,10749
477,35
477,18
477,878
478,28
478,12
478,35
479,35
479,18
479,10749
480,18
480,35
480,28
481,18
481,53
481,28
482,28
482,35
482,12
483,35
483,18
483,28
484,35
484,18
484,10749
485,53
485,28
485,18
486,28
486,53
486,12
487,18
487,35
487,12
488,35
488,18
488,10749
489,18
489,35
489,10749
490,18
490,35
490,10749
491,35
491,18
491,10749
492,35
492,53
492,28
493,28
493,18
493,53
494,28
494,12
494,878
495,18
495,35
495,28
496,18
496,10749
496,12
497,18
497,53
497,80
498,18
498,35
498,53
499,18
499,37
499,28
500,35
500,18
500,10749
501,53
501,35
501,18
502,18
502,35
502,878
503,18
503,53
503,80
504,18
504,35
504,10749
505,27
505,53
505,28
506,18
506,10749
506,35
507,18
507,53
507,28
508,35
508,18
508,12
509,35
509,12
509,18
510,18
510,35
510,80
511,18
511,28
511,878
512,18
512,53
512,28
513,18
513,28
513,12
514,35
514,18
514,28
515,28
515,18
515,878
516,35
516,18
516,12
517,18
517,35
517,10751
518,18
518,53
518,35
519,35
519,18
519,80
520,35
520,28
520,12
521,18
521,53
521,35
522,18
522,28
522,35
523,18
523,12
523,14
524,28
524,12
524,53
525,35
525,18
525,12
526,18
526,35
526,80
527,12
527,18
527,35
528,18
528,28
528,80
529,12
529,28
529,35
530,18
530,53
530,35
531,12
531,28
531,53
532,28
532,18
532,80
533,27
533,35
533,53
534,28
534,12
534,35
535,35
535,18
535,10749
536,18
536,53
536,35
537,18
537,80
537,28
538,35
538,10402
538,12
539,35
539,12
539,10751
540,28
540,53
540,12
541,18
541,35
541,53
542,35
542,18
542,53
543,35
543,18
543,10749
544,18
544,28
544,53
545,53
545,28
545,35
546,27
546,28
546,53
547,18
547,10749
547,35
548,18
548,28
548,35
549,28
549,18
549,53
550,878
550,28
550,12
551,28
551,53
551,12
552,18
552,35
552,28
553,18
553,80
553,53
554,18
554,10402
554,35
555,35
555,18
555,28
556,12
556,14
556,28
557,12
557,28
557,53
558,18
558,53
558,35
559,28
559,35
559,18
560,18
560,35
560,28
561,28
561,35
561,12
562,18
562,35
562,53
563,35
563,10749
563,18
564,35
564,10749
564,18
565,35
565,53
565,18
566,18
566,35
566,10749
567,18
567,12
567,28
568,18
568,35
568,53
569,28
569,53
569,12
570,18
570,28
570,12
571,27
571,53
571,878
572,18
572,35
572,10749
573,28
573,53
573,12
574,53
574,18
574,12
575,35
575,18
575,53
576,35
576,28
576,12
577,18
577,28
577,12
578,18
578,10749
578,35
579,18
579,35
579,10749
580,18
580,28
580,53
581,18
581,12
581,14
582,28
582,12
583,35
583,10749
583,10751
584,18
584,53
584,28
585,18
585,80
585,53
586,12
586,28
586,878
587,35
587,18
587,10749
588,18
588,53
588,80
589,18
589,53
589,35
590,18
590,35
590,28
591,18
591,35
591,28
592,28
592,35
592,53
593,18
593,10749
593,35
594,10749
594,35
594,28
595,18
595,35
595,10749
596,28
596,12
596,18
597,35
597,18
597,28
598,10749
598,18
598,35
599,18
599,35
599,28
600,35
600,18
600,10749
601,18
601,12
601,28
602,18
602,53
602,28
603,18
603,35
603,10749
604,18
604,28
604,53
605,14
605,12
605,35
606,18
606,35
606,10749
607,18
607,28
607,53
608,35
608,18
608,28
609,18
609,53
609,28
610,28
610,18
610,53
611,27
611,35
611,878
